Name                                                    Stmts   Miss  Cover   Missing
-------------------------------------------------------------------------------------
scripts/test_esm2_similarity.py                           187    171     9%   20-31, 38-76, 86-115, 120-151, 156-186, 191-271, 275-309
scripts/test_exact_query.py                                36     30    17%   15-98, 101
scripts/test_genomic_context.py                            63     55    13%   15-55, 59-116, 120-138, 141
scripts/test_llm_integration.py                            54     41    24%   26-95, 99-100
scripts/test_neo4j.py                                      52     43    17%   21-104, 108
scripts/test_prodigal_parsing.py                           26     20    23%   18-48, 51
scripts/test_protein_query.py                              38     29    24%   20-98, 101
src/build_kg/annotation_processors.py                      91     71    22%   18-19, 23-29, 34-37, 43-52, 56-59, 66, 70-86, 93, 97-111, 124-157, 162-183, 187
src/build_kg/batch_processor.py                           195    134    31%   37-38, 102-117, 134-167, 171-270, 274-275, 279-288, 292-326, 330-347, 351, 355-359, 370, 393-450, 467-545
src/build_kg/functional_enrichment.py                     213    169    21%   58-63, 67-77, 81-122, 126-152, 156-213, 217-252, 256-289, 293-325, 329-373, 392-393
src/build_kg/pathway_integration.py                       149    124    17%   40-52, 56-118, 122-210, 214-262, 266-286, 301-322, 326-345
src/build_kg/quast_parser.py                              113    102    10%   24-90, 104-108, 121-144, 157-168, 181-206, 211-224
src/build_kg/rdf_builder.py                               686    642     6%   34-73, 92-175, 188-216, 230-243, 261-263, 267-274, 278-312, 316-339, 344-399, 404-434, 439-468, 473-546, 552-631, 636-716, 723-820, 824-835, 839-856, 872-999, 1021-1260, 1271, 1281-1294
src/code_interpreter/__init__.py                           10      3    70%   14-16
src/code_interpreter/client.py                             83     60    28%   29-30, 49-82, 97-106, 115-121, 130-131, 144-145, 157-181, 193-237, 249-308, 320-350, 362-522, 534-697, 709-739, 763-784
src/code_interpreter/service.py                           179    120    33%   65-74, 79-165, 169-185, 196-255, 269, 281-295, 310-314, 320, 330-343, 349, 356-357
src/ingest/00_prepare_inputs.py                           175    154    12%   32-104, 109-113, 118-128, 134-147, 188-335, 340-342, 346
src/ingest/01_run_quast.py                                243    218    10%   35-105, 115-147, 168-274, 287-330, 335-366, 412-548, 553-554, 558
src/ingest/02_dfast_qc.py                                 190    167    12%   36-64, 95-196, 217-223, 243-286, 291-327, 368-500, 505-506, 510
src/ingest/03_prodigal.py                                 274    247    10%   35-96, 101-113, 123-151, 174-282, 295-338, 352-396, 401-422, 474-613, 618-619, 623
src/ingest/04_astra_scan.py                               146    126    14%   42-113, 154-321, 326-328, 332
src/ingest/dbcan_cazyme.py                                236    192    19%   76-148, 159-234, 244-279, 284-297, 302-310, 315-316, 341-392, 399-424, 429-444, 449-534, 538
src/llm/__init__.py                                         8      0   100%
src/llm/annotation_tools.py                               283    254    10%   43-108, 138-255, 278-343, 421-492, 523-644, 672-768, 796-839, 867-925
src/llm/cli.py                                            210    175    17%   29-30, 45-87, 96-114, 124-140, 149-165, 174-188, 193-237, 242-282, 287-316, 321-358, 363-380, 387, 403-405, 420-423, 427
src/llm/config.py                                          91     52    43%   56-90, 95-97, 101-102, 106-110, 114-120, 124, 128, 132, 141-162
src/llm/context_compression.py                            393    328    17%   27-29, 34-36, 62-73, 77-81, 85-96, 114-153, 158-173, 178-200, 205-215, 220-226, 241-263, 268-283, 288-306, 311-313, 330-338, 350-355, 369-396, 402-473, 487-520, 546-561, 574-611, 625-658, 670-681, 695-721, 735-759, 766-816, 819
src/llm/error_patterns.py                                  52     33    37%   14, 18, 112-132, 136-139, 159, 164, 173-187, 193-207
src/llm/pathway_tools.py                                  128    110    14%   25-29, 33-70, 74-108, 112, 116, 136-222, 243-293
src/llm/query_processor.py                                342    285    17%   41, 46, 51, 58-62, 66-74, 78-83, 87, 91-156, 167-202, 206-312, 316-350, 355-363, 367-383, 388-447, 451-464, 469-486, 491-528, 532-533, 540-544, 548-560, 564-568, 572-601, 612-632, 637-642, 655-661, 673-675, 679, 684-718, 728
src/llm/rag_system/__init__.py                              7      0   100%
src/llm/rag_system/agent_executor.py                      654    577    12%   25-26, 162-195, 199-325, 351-389, 406-447, 461-465, 469-530, 534-623, 627-650, 654-659, 663-754, 762-770, 778-833, 838-903, 909-1021, 1025-1065, 1069-1100, 1104-1183, 1199-1266, 1285-1307, 1321-1346, 1359-1443, 1455-1519, 1532-1564, 1574-1610
src/llm/rag_system/context_compression.py                 174    150    14%   32-39, 58-108, 121-151, 155-190, 195-253, 259-316, 320-346, 350-353, 365-380
src/llm/rag_system/core.py                                596    544     9%   16-23, 54-112, 116-198, 205-208, 218-233, 250-348, 358-624, 634-658, 662-667, 671-676, 680-692, 696-709, 713-727, 731-752, 756-769, 774-795, 803-815, 819-863, 872-899, 906-1004, 1022-1058, 1062-1089, 1093-1113, 1117-1164, 1180-1189, 1194-1195, 1199-1200, 1215-1248
src/llm/rag_system/dspy_signatures.py                     143      0   100%
src/llm/rag_system/external_tools.py                      187    166    11%   22-24, 50-116, 130-144, 158-276, 291-360, 382-384, 547-548, 552, 556-566, 571-576
src/llm/rag_system/genome_context_extractor.py             74     55    26%   28-56, 76-101, 105-116, 120-135, 139-157, 161-169, 173-197
src/llm/rag_system/genome_selection.py                    352    297    16%   24-25, 78-136, 149-174, 186-220, 232-255, 261-314, 329-371, 387-411, 416-487, 492-511, 516-536, 540-545, 558-588, 593-624, 635-655, 662-696, 702-715, 721-732, 744-747, 752-753, 759-797, 801-802
src/llm/rag_system/intelligent_routing.py                 133     97    27%   53-110, 128-172, 185-209, 214-236, 241-260, 264-268, 273-290, 297-334, 346-349
src/llm/rag_system/log_formatter.py                       118    100    15%   65-74, 87-112, 117-129, 133-140, 144-154, 169-171, 184-194, 211-252, 258, 275-314
src/llm/rag_system/memory/__init__.py                      11      0   100%
src/llm/rag_system/memory/memory_utils.py                 190    169    11%   29, 34-51, 65-76, 90-96, 109-117, 130-168, 193-219, 234-271, 285-314, 319-328, 342-358, 371-407
src/llm/rag_system/memory/model_allocation.py             150    106    29%   157, 172-201, 216-246, 258-264, 268-269, 273-274, 287-289, 293-316, 337-401, 416, 422
src/llm/rag_system/memory/model_config.py                  85     59    31%   34-41, 49-51, 59-61, 65, 69-87, 91-106, 115, 120, 125, 130, 135, 140, 146-148, 153-155, 160-162, 168-182, 186
src/llm/rag_system/memory/multipart_synthesizer.py        274    240    12%   41-58, 64, 71-74, 97-110, 118-148, 155-181, 189-210, 218-244, 250-257, 261-286, 290-312, 316-328, 332-360, 364-381, 385-404, 408-425, 431-461, 468-484, 488-503, 509-527, 531-540, 547, 568-570, 587
src/llm/rag_system/memory/note_keeper.py                  193    166    14%   55-77, 81-101, 105-109, 119-121, 154-192, 205-220, 229-242, 271-303, 315-324, 333-346, 355-381, 394, 406-416, 428-455, 464, 473-480, 492-507, 516
src/llm/rag_system/memory/note_schemas.py                 101      9    91%   47-49, 154-156, 174-176
src/llm/rag_system/memory/parallel_config.py               82     47    43%   85-94, 110-120, 124-126, 130-137, 141-145, 157-173, 186, 193, 197, 201, 205, 209, 214, 218, 222, 226
